DISTRICT_NAME,DISTRICT_NUMBER,TYPE,STATUS,COUNTY,COUNTIES_INCLUDED,PLACES,DISTRICT_NOTE,CHANGE_NOTE
Wahkiakum County Fire Protection District No. 2,2,Fire Protection,active,Wahkiakum,Wahkiakum,NA,Skamokawa,NA
Wahkiakum County Fire Protection District No. 3,3,Fire Protection,active,Wahkiakum,Wahkiakum,NA,Grays River,NA
Wahkiakum County Fire Protection District No. 4,4,Fire Protection,active,Wahkiakum,Wahkiakum,NA,Cathlamet,NA
Wahkiakum County Port District No. 1,1,Port,active,Wahkiakum,Wahkiakum,Cathlamet,NA,NA
Wahkiakum County Port District No. 2,2,Port,active,Wahkiakum,Wahkiakum,NA,NA,NA
Wahkiakum School District No. 200,200,School,active,Wahkiakum,Wahkiakum,Cathlamet,NA,NA
Wahluke School District No. 73,73,School,active,Grant,Grant,Mattawa,NA,NA
Waitsburg-Coppei Flood Control District,NA,Flood Control,active,Walla Walla,"Walla Walla, Columbia",Waitsburg,NA,Portions of Touchet River and Coppei Creek in Columbia and Walla Walla Counties
Waitsburg Coppei Flood Control District,NA,Flood Control,active,Walla Walla,Walla Walla,NA,NA,Part in Columbia County
Waitsburg Park and Recreation District,NA,Parks,active,Walla Walla,Walla Walla,Waitsburg,NA,NA
Waitsburg School District No. 401-100,401,School,active,Walla Walla,Walla Walla,Waitsburg,NA,NA
Waitsburg Transportation Benefit District (2012),NA,Transportation,active,Walla Walla,Walla Walla,Waitsburg,NA,NA
Walla Walla  Transportation Benefit District (2011),NA,Transportation,active,Walla Walla,Walla Walla,Walla Walla,NA,NA
Walla Walla County Conservation District,NA,Conservation,active,Walla Walla,Walla Walla,NA,NA,NA
Walla Walla County Fire Protection District No. 1,1,Fire Protection,active,Walla Walla,Walla Walla,NA,Clyde,NA
Walla Walla County Fire Protection District No. 2,2,Fire Protection,active,Walla Walla,"Walla Walla, Columbia",NA,Joint District with Columbia County Fires District No. 2,Columbia Co Fire Dist. 2 joined with Walla Walla County Fire District No.2 on 01/19/2004
Walla Walla County Fire Protection District No. 3,3,Fire Protection,active,Walla Walla,Walla Walla,NA,Eureka,NA
Walla Walla County Fire Protection District No. 4 -Walla Walla,4,Fire Protection,active,Walla Walla,Walla Walla,NA,NA,NA
Walla Walla County Fire Protection District No. 5,5,Fire Protection,active,Walla Walla,Walla Walla,NA,Burbank,NA
Walla Walla County Fire Protection District No. 6,6,Fire Protection,active,Walla Walla,Walla Walla,NA,Touchet,NA
Walla Walla County Fire Protection District No. 7,7,Fire Protection,active,Walla Walla,Walla Walla,NA,NA,Joint operation with Prescott
Walla Walla County Fire Protection District No. 8,8,Fire Protection,active,Walla Walla,Walla Walla,NA,NA,NA
Walla Walla County Rural Library District,NA,Library,active,Walla Walla,Walla Walla,NA,NA,NA
Walla Walla School District No. 140,140,School,active,Walla Walla,Walla Walla,"Part College Place, part Walla Walla",NA,NA
Wallula Cemetery District,1,Cemetery,active,Walla Walla,Walla Walla,NA,Walla Wall County Cemetery District No. 1,NA
Wallula Water District No. 1,1,Water,active,Walla Walla,Walla Walla,NA,NA,NA
Wapato School District No. 207,207,School,active,Yakima,Yakima,"Part Union Gap, Wapato",NA,NA
Wapato Transportation Benefit District (2012),NA,Transportation,active,Yakima,Yakima,NA,NA,NA
Warden Conservation District,NA,Conservation,active,Grant,Grant,NA,NA,NA
Warden School District No. 146-161,146,School,active,Grant,Grant,Warden,NA,NA
Washington State Public Stadium Authority,NA,NA,active,King,King,NA,NA,NA
Washougal School District No. 112,112,School,active,Clark,Clark,NA,NA,NA
Washtucna School District No. 109,109,School,active,Adams,Adams,Washtucna,NA,NA
Waterville Mosquito Control District (2011),NA,Mosquito Control,active,Douglas,Douglas,NA,NA,Election to form held November 2011
Waterville School District No. 209,209,School,active,Douglas,Douglas,Waterville,NA,NA
Wellpinit School District No. 49,49,School,active,Stevens,Stevens,NA,NA,NA
Wenas Irrigation District,NA,Irrigation,active,Yakima,Yakima,NA,NA,NA
Wenatchee Chiwawa Irrigation District,NA,Irrigation,active,Chelan,Chelan,NA,NA,NA
Wenatchee Heights Reclamation District,NA,NA,active,Chelan,Chelan,NA,NA,NA
Wenatchee Reclamation District,NA,NA,active,Chelan,Chelan,NA,NA,NA
Wenatchee School District No. 246,246,School,active,Chelan,Chelan,Wenatchee,NA,NA
"Wenatchee Transportation Benefit District (Link Transit, 2011)",NA,Transportation,active,Chelan,Chelan,Wenatchee,NA,NA
West End Irrigation District,NA,Irrigation,active,Columbia,Columbia,NA,NA,Also know as West End Irrigation Ditch
West Hill Water District No. 20,20,Water,disposition unknown,Kitsap,Kitsap,NA,NA,Service area includes Bainbridge
West Pierce Fire and Rescue (formerly Pierce County Fire Protection District No. 3),3,Fire Protection,active,Pierce,Pierce,University Place,NA,NA
West Sound Utility District No. 1 (2007),1,Public Utility,active,Kitsap,Kitsap,NA,NA,Formed by the consolidation of Annapolis Water District and Karcher Creek Sewer District in November 2007. Service area includes Port Orchard
West Thurston Regional Fire Service Authority (Thurston County FPD No.11 and Thurston County FPD No.1),NA,Fire Protection,active,Thurston,Thurston,NA,NA,NA
West Valley School District No. 208,208,School,active,Yakima,Yakima,Yakima,NA,NA
West Valley School District No. 363,363,School,active,Spokane,Spokane,"Millwood, Part Spokane, Spokane Valley",NA,NA
Westside Irrigation District No. 5,5,Irrigation,active,Walla Walla,Walla Walla,NA,NA,NA
Whatcom Conservation District,NA,Conservation,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Cemetery District No. 1,1,Cemetery,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Cemetery District No. 10,10,Cemetery,active,Whatcom,Whatcom,Lynden,NA,NA
Whatcom County Cemetery District No. 11,11,Cemetery,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Cemetery District No. 2,2,Cemetery,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Cemetery District No. 3,3,Cemetery,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Cemetery District No. 4,4,Cemetery,active,Whatcom,Whatcom,Part Everson,NA,NA
Whatcom County Cemetery District No. 5,5,Cemetery,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Cemetery District No. 6,6,Cemetery,active,Whatcom,Whatcom,Part Ferndale,NA,NA
Whatcom County Cemetery District No. 7,7,Cemetery,active,Whatcom,Whatcom,Part Ferndale,NA,NA
Whatcom County Cemetery District No. 8,8,Cemetery,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Cemetery District No. 9,9,Cemetery,active,Whatcom,Whatcom,"Nooksack, Everson (part)",NA,NA
Whatcom County Consolidated Drainage District No. 20,20,Drainage,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Consolidated Drainage District No. 21,21,Drainage,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Consolidated Drainage District No. 31,31,Drainage,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Diking District No. 1,1,Dikes,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Diking District No. 2,2,Dikes,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Diking District No. 3,3,Dikes,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Diking District No. 4,4,Dikes,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Drainage District No. 2,2,Drainage,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Drainage District No. 3,3,Drainage,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Drainage Improvement District No. 1,1,Drainage,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Drainage Improvement District No. 15,15,Drainage,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Drainage Improvement District No. 5,5,Drainage,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Drainage Improvement District No. 6,6,Drainage,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Drainage Improvement District No. 7,7,Drainage,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Fire Protection District No. 1,1,Fire Protection,active,Whatcom,Whatcom,NA,Everson/Deming/Nooksack,Provides services to cities of Everson and Nooksack
Whatcom County Fire Protection District No. 11,11,Fire Protection,active,Whatcom,Whatcom,NA,Lummi Island Fire Department,NA
Whatcom County Fire Protection District No. 13,13,Fire Protection,active,Whatcom,Whatcom,NA,North Whatcom Fire and Rescue Service,Merged with District 3 and name changed to Fire District No. 21
Whatcom County Fire Protection District No. 14,14,Fire Protection,active,Whatcom,Whatcom,NA,Sumas,Provides service to Sumas
Whatcom County Fire Protection District No. 16,16,Fire Protection,active,Whatcom,Whatcom,NA,Acme / Van Zandt,NA
Whatcom County Fire Protection District No. 17,17,Fire Protection,active,Whatcom,Whatcom,NA,Sandy Point,NA
Whatcom County Fire Protection District No. 18,18,Fire Protection,active,Whatcom,Whatcom,NA,South Lake Whatcom,NA
Whatcom County Fire Protection District No. 19,19,Fire Protection,active,Whatcom,Whatcom,NA,Glacier Fire and Rescue,NA
Whatcom County Fire Protection District No. 2,2,Fire Protection,active,Whatcom,Whatcom,NA,Geneva/Sudden Valley,"Part of South Whatcom Fire Authority, election 11/04/2008. Election to dissolve 11/2009"
Whatcom County Fire Protection District No. 21,21,Fire Protection,active,Whatcom,Whatcom,Blaine,North Whatcom Fire and Rescue,"Merger of No. 3, and No. 13 (2006), and name changed from No. 13 to Fire District No. 21(01/2007). Operating as North Whatcom Fire and Rescue. District completed a functional consolidation with Whatcom County Fire District No.4., 07/11/2011"
Whatcom County Fire Protection District No. 3,3,Fire Protection,merged,Whatcom,Whatcom,NA,NA,NA
Whatcom County Fire Protection District No. 4,4,Fire Protection,active,Whatcom,Whatcom,NA,Bellingham,"Functional consolidation with Whatcom County Fire District 21 completed July 1, 2011"
Whatcom County Fire Protection District No. 5 Point Roberts (1967),5,Fire Protection,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Fire Protection District No. 6,6,Fire Protection,active,Whatcom,Whatcom,NA,Chuckanut,"Part of South Whatcom Fire Service authority, election 11/04/2008. Election to dissolve, 11/2009"
Whatcom County Fire Protection District No. 7,7,Fire Protection,active,Whatcom,Whatcom,NA,Ferndale,Provides service to Ferndale
Whatcom County Fire Protection District No. 8,8,Fire Protection,active,Whatcom,Whatcom,NA,Marietta,NA
Whatcom County Fire Protection District No. 9,9,Fire Protection,active,Whatcom,Whatcom,NA,Lake Samish,"Part of South Whatcom Fire Service Authority, election 11/04/2008. Election to dissolve, 11/2009"
Whatcom County Flood Control Zone District (10/91),NA,Flood Control,active,Whatcom,Whatcom,County-Wide,NA,NA
Whatcom County Housing Authority,NA,Housing Authority,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Rural Library District,NA,Library,active,Whatcom,Whatcom,"Blaine, Everson, Ferndale, Lynden, Nooksack, Sumas",NA,NA
Whatcom County Solid Waste Disposal District,NA,NA,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Television Improvement District No. 1,1,NA,dissolved,Whatcom,Whatcom,NA,NA,Resolution No. 95-069
Whatcom County Water District No. 13,13,Water,active,Whatcom,Whatcom,NA,Maple Falls,NA
Whatcom County Water District No. 17 (1980),17,Water,disposition unknown,Whatcom,Whatcom,NA,NA,Reference to vote for disincorporation circa 1983
Whatcom County Water District No. 18,18,Water,active,Whatcom,Whatcom,NA,Acme,NA
Whatcom County Water District No. 2,2,Water,active,Whatcom,Whatcom,NA,NA,NA
Whatcom County Water District No. 7,7,Water,active,Whatcom,Whatcom,NA,NA,NA
Whatcom Transportation Authority,NA,Transportation,active,Whatcom,Whatcom,"Bellingham, Blaine, Everson, Ferndale, Lynden, Nooksack, Sumas, Nooksack",NA,NA
Whidbey Island Conservation District,NA,Conservation,active,Island,Island,NA,NA,NA
Whidbey Island Public Hospital District,NA,Hospital,active,Island,Island,"Oak Harbor, Coupeville, Langley",dba Whidbey General Hospital,NA
Whitaker Lowry Ditch District,NA,NA,disposition unknown,Lewis,Lewis,NA,NA,NA
White Pass School District No. 303,303,School,active,Lewis,Lewis,NA,NA,NA
White River School District No. 416,416,School,active,Pierce,Pierce,"Part Bonney Lake, Buckley, South Prairie, Wilkeson",NA,NA
White Salmon Irrigation District,NA,Irrigation,active,Klickitat,Klickitat,NA,NA,NA
White Salmon Valley School District No. 405-17,405,School,active,Klickitat,Klickitat,"Bingen, White Salmon",NA,NA
Whitestone Reclamation District,NA,NA,active,Okanogan,Okanogan,NA,NA,NA
Whitman Conservation District,NA,Conservation,active,Whitman,Whitman,NA,NA,NA
Whitman County Cemetery District No. 1,1,Cemetery,active,Whitman,Whitman,Oakesdale,NA,NA
Whitman County Cemetery District No. 2,2,Cemetery,active,Whitman,Whitman,Garfield,NA,NA
Whitman County Cemetery District No. 3,3,Cemetery,active,Whitman,Whitman,St. John,NA,NA
Whitman County Cemetery District No. 4,4,Cemetery,active,Whitman,Whitman,Endicott,NA,NA
Whitman County Cemetery District No. 5,5,Cemetery,active,Whitman,Whitman,NA,NA,NA
Whitman County Cemetery District No. 6,6,Cemetery,active,Whitman,Whitman,Colfax,NA,NA
Whitman County Cemetery District No. 7,7,Cemetery,active,Whitman,Whitman,NA,NA,NA
Whitman County Cemetery District No. 8,8,Cemetery,active,Whitman,Whitman,Farmington,NA,NA
Whitman County Fire Protection District No. 1,1,Fire Protection,active,Whitman,Whitman,NA,Tekoa,NA
Whitman County Fire Protection District No. 10,10,Fire Protection,active,Whitman,Whitman,NA,Oakesdale Farmington,NA
Whitman County Fire Protection District No. 11,11,Fire Protection,active,Whitman,Whitman,NA,Albion/Colfax/Diamond/Steptoe,NA
Whitman County Fire Protection District No. 12,12,Fire Protection,active,Whitman,Whitman,NA,Pullman,NA
Whitman County Fire Protection District No. 13,13,Fire Protection,active,Whitman,Whitman,NA,Wilcox-Onecho-Dusty,NA
Whitman County Fire Protection District No. 14 ,14,Fire Protection,active,Whitman,Whitman,Colton  and Uniontown,Colton-Uniontown,NA
Whitman County Fire Protection District No. 2,2,Fire Protection,active,Whitman,Whitman,NA,St John,NA
Whitman County Fire Protection District No. 3,3,Fire Protection,active,Whitman,Whitman,NA,Garfield,NA
Whitman County Fire Protection District No. 4,4,Fire Protection,active,Whitman,Whitman,NA,Palouse,NA
Whitman County Fire Protection District No. 5,5,Fire Protection,active,Whitman,Whitman,NA,Lamont,Provides Services to Lamont
Whitman County Fire Protection District No. 6,6,Fire Protection,active,Whitman,Whitman,NA,Endicott,Provides Services to Endicott
Whitman County Fire Protection District No. 7,7,Fire Protection,active,Whitman,Whitman,NA,Rosalia,NA
Whitman County Fire Protection District No. 8,8,Fire Protection,active,Whitman,Whitman,NA,Lacrosse/Hooper,NA
Whitman County Park and Recreation District No. 1,1,Parks,active,Whitman,Whitman,LaCrosse,NA,NA
Whitman County Park and Recreation District No. 2,2,Parks,active,Whitman,Whitman,Garfield,NA,NA
Whitman County Park and Recreation District No. 3,3,Parks,active,Whitman,Whitman,St. John,NA,NA
Whitman County Park and Recreation District No. 4,4,Parks,active,Whitman,Whitman,Oakesdale,NA,NA
Whitman County Park and Recreation District No. 5,5,Parks,active,Whitman,"Whitman, Spokane",Rosalia,NA,NA
Whitman County Park and Recreation District No. 6,6,Parks,active,Whitman,Whitman,Tekoa,NA,NA
Whitman County Parks and Recreation District No. 7,7,Parks,active,Whitman,Whitman,Endicott,NA,NA
Whitman County Public Hospital District No. 1A,1,Hospital,active,Whitman,Whitman,Pullman,NA,NA
Whitman County Public Hospital District No. 2,2,Hospital,active,Whitman,Whitman,"Farmington, Garfield",NA,NA
Whitman County Public Hospital District No. 3,3,Hospital,active,Whitman,Whitman,"Colfax, Endicott, LaCrosse, St. John",NA,NA
Whitman County Public Hospital District No. 4 (11/06/12),4,Hospital,active,Whitman,Whitman,Tekoa,NA,NA
Whitman County Rural Library District,NA,Library,active,Whitman,Whitman,"Albion, Colfax, Farmington, Endicott, LaCrosse, Malden, Oakesdale, Palouse, St. John, Tekoa,",NA,NA
Whitworth Water District No. 2 (1939),2,Water,active,Spokane,Spokane,NA,NA,Merged with Colbert Water District in 1984 to more efficiently provide water service to North Spokane and the Colbert area.
Wilbur School District No. 200,200,School,active,Lincoln,Lincoln,Wilbur,NA,NA
Willapa Park and Recreation District,NA,Parks,disposition unknown,Pacific,Pacific,"Raymond,  South Bend",NA,Listed as tax code area by state and county
Willapa Valley School District No. 160,160,School,active,Pacific,Pacific,NA,NA,NA
Willapa Valley Water District,NA,Water,active,Pacific,Pacific,NA,NA,The district succeeded the Willapa Valley Water Company in 1934 in order to be eligible to receive state aid to finance an expansion project. Serves Willapa Valley and East Raymond areas
